job_id,views,formatted_work_type,formatted_experience_level,normalized_salary,title_category,state
3816172762,5.0,Full-time,Not Specified,72500.0,Management/Executive,NV
3816179292,2.0,Full-time,Not Specified,400000.0,Sales,TX
3816415678,7.0,Full-time,Not Specified,70000.0,Management/Executive,FL
3816831972,17.0,Full-time,Not Specified,239802.0,Management/Executive,AZ
3817203807,6.0,Full-time,Not Specified,85000.0,Engineering,CA
3817454364,6.0,Full-time,Not Specified,50000.0,Technical/Trades,CO
3818306840,3.0,Full-time,Not Specified,45000.0,Senior/Lead,IA
3819767400,9.0,Full-time,Not Specified,82500.0,Management/Executive,FL
3821047961,5.0,Full-time,Not Specified,85000.0,Management/Executive,CA
3821190632,151.0,Part-time,Not Specified,33280.0,Education,MN
3822435165,76.0,Full-time,Not Specified,145000.0,Legal,FL
3822583239,11.0,Full-time,Not Specified,90000.0,Technical/Trades,NC
3824661875,1.0,Full-time,Not Specified,50000.0,Administrative/Office Support,MA
3826177405,7.0,Full-time,Not Specified,66850.0,Other,NC
3827268681,0.0,Part-time,Not Specified,62500.0,Finance,US - Metro Area (Unspecified State)
3828515870,2.0,Full-time,Not Specified,100000.0,Management/Executive,CA
3830297838,97.0,Full-time,Not Specified,81000.0,Senior/Lead,PA
3830313052,125.0,Full-time,Not Specified,72000.0,Technical/Trades,US - Unspecified
3830396637,9.0,Full-time,Not Specified,39520.0,Engineering,WI
3831143681,6.0,Temporary,Not Specified,39520.0,Healthcare,MI
3831190800,2.0,Full-time,Mid-Senior level,160000.0,Senior/Lead,NY
3831214149,2.0,Full-time,Not Specified,52000.0,Sales,TX
3831919828,4.0,Full-time,Not Specified,300000.0,Sales,US - Unspecified
3832103385,5.0,Full-time,Not Specified,50544.0,Other,MA
3832947295,10.0,Full-time,Not Specified,57500.0,Management/Executive,International/Other
3833894876,2.0,Full-time,Not Specified,95000.0,Design,CA
3835324900,47.0,Full-time,Not Specified,80000.0,Management/Executive,CA
3835341304,5.0,Full-time,Not Specified,71389.0,Management/Executive,NC
3835806869,222.0,Full-time,Director,175000.0,Management/Executive,US - Unspecified
3836602983,11.0,Full-time,Not Specified,80000.0,Senior/Lead,NY
3836759104,1.0,Full-time,Not Specified,205000.0,Sales,UT
3836793450,33.0,Part-time,Not Specified,64480.0,Healthcare,US - Metro Area (Unspecified State)
3837546918,3.0,Full-time,Not Specified,170000.0,Other,NJ
3838732090,158.0,Contract,Not Specified,18000.0,Other,NY
3838774352,6.0,Full-time,Not Specified,78000.0,Other,MD
3840554223,2.0,Full-time,Not Specified,60000.0,Other,TX
3840584142,155.0,Full-time,Not Specified,75000.0,Management/Executive,International/Other
3840688146,1.0,Full-time,Not Specified,97500.0,Management/Executive,FL
3841003722,38.0,Full-time,Not Specified,216320.0,Senior/Lead,International/Other
3841334821,634.0,Full-time,Not Specified,60000.0,Other,NY
3842528795,276.0,Contract,Not Specified,98800.0,HR/Recruiting,US - Unspecified
3843103150,0.0,Full-time,Not Specified,54080.0,Healthcare,NJ
3844025327,3.0,Full-time,Not Specified,50000.0,Sales,NE
3844070064,1.0,Full-time,Not Specified,44366.4,Administrative/Office Support,IL
3844216662,4.0,Full-time,Not Specified,67500.0,Management/Executive,NY
3844838697,2.0,Full-time,Not Specified,78000.0,Other,IN
3845186343,48.0,Full-time,Not Specified,43680.0,Administrative/Office Support,VA
3845412777,7.0,Full-time,Not Specified,72800.0,Management/Executive,WA
3845468619,13.0,Full-time,Not Specified,60320.0,Technical/Trades,IA
